id,name,area,dazhihui,eastmoney,jinrongjie,jinrongjie_score,tonghuashun
000608,阳光股份,SZ,6.9,53.99,61.51,59.59,5.8
000609,中迪投资,SZ,7.0,63.88,20.0,62.94,5.8
000610,西安旅游,SZ,6.9,65.91,20.84,61.68,5.4
000611,*ST天首,SZ,5.4,66.92,20.96,69.82,4.8
000612,焦作万方,SZ,7.4,70.4,20.1,69.66,5.7
000613,大东海A,SZ,5.9,54.41,26.28,54.12,4.9
000615,京汉股份,SZ,6.0,56.64,22.39,48.53,4.7
000616,海航投资,SZ,7.8,66.77,24.08,67.77,5.9
000617,中油资本,SZ,6.3,70.08,20.71,76.42,6.2
000619,海螺型材,SZ,5.7,58.29,23.58,69.49,4.5
000620,新华联,SZ,6.7,63.93,20.0,60.31,4.7
000622,恒立实业,SZ,5.4,63.78,20.6,55.81,4.4
000623,吉林敖东,SZ,7.1,65.83,21.3,50.48,3.9
000625,长安汽车,SZ,7.2,72.54,23.14,72.56,6.0
000626,远大控股,SZ,5.6,60.42,21.54,73.88,4.4
000627,天茂集团,SZ,6.3,65.14,28.52,62.36,5.7
000628,高新发展,SZ,7.0,69.8,20.88,81.27,5.6
000629,攀钢钒钛,SZ,7.3,71.36,20.2,62.33,4.3
000630,铜陵有色,SZ,6.9,65.91,20.21,58.32,5.0
000631,顺发恒业,SZ,7.3,72.04,23.32,73.09,5.8
000632,三木集团,SZ,5.7,62.26,20.06,61.95,4.4
000633,合金投资,SZ,6.0,54.85,21.6,65.88,4.1
000635,英力特,SZ,6.4,58.86,22.29,62.15,4.5
000636,风华高科,SZ,8.0,79.6,98.88,56.17,6.6
000637,茂化实华,SZ,6.0,61.47,20.03,64.06,4.3
000638,万方发展,SZ,6.4,62.43,20.48,63.70,4.8
000639,西王食品,SZ,6.2,54,31.6,52.77,4.5
000650,仁和药业,SZ,6.1,61.75,24.73,59.95,4.0
000651,格力电器,SZ,7.0,66.63,83.34,59.36,5.3
000652,泰达股份,SZ,6.2,52.13,20.21,64.65,4.2
000655,金岭矿业,SZ,7.2,71.03,20.0,65.67,5.0
000656,金科股份,SZ,7.9,77.19,20.12,61.34,5.9
000657,中钨高新,SZ,6.5,71.45,22.94,66.95,5.9
000659,珠海中富,SZ,5.0,53.84,20.03,53.31,4.5
000661,长春高新,SZ,7.5,77.66,86.46,56.27,6.2
000662,天夏智慧,SZ,5.8,57.55,22.04,44.82,5.0
000663,*ST永林,SZ,6.1,51.92,20.03,64.43,3.9
000665,湖北广电,SZ,6.7,59.96,20.07,64.03,4.9
000666,经纬纺机,SZ,5.5,57.97,21.43,59.22,4.0
000667,美好置业,SZ,6.8,62.18,20.0,56.48,5.1
000668,荣丰控股,SZ,5.8,59.32,20.2,61.03,3.8
000669,*ST金鸿,SZ,5.7,49.25,21.7,49.14,3.9
000671,阳光城,SZ,7.9,74.82,21.92,51.69,5.6
000672,上峰水泥,SZ,7.9,75.23,76.91,67.17,6.8
000673,*ST当代,SZ,5.9,43.75,20.0,51.15,4.3
000676,智度股份,SZ,6.4,61.44,21.65,68.46,4.2
000677,恒天海龙,SZ,5.5,60.9,20.43,58.10,4.5
000678,襄阳轴承,SZ,5.3,57.8,21.18,64.38,4.4
